tryes real user sys
1 21,71 24,30 14,52
1 16,79 18,60 11,52
1 20,39 22,50 14,29
2 19,16 21,64 12,88
2 19,22 21,04 13,21
2 19,61 21,94 13,72
4 16,96 18,89 11,44
4 19,37 21,38 13,43
4 18,84 20,74 13,00
8 18,50 20,53 12,64
8 21,53 23,61 14,62
8 22,18 24,82 14,85
16 18,13 19,90 12,45
16 20,93 23,18 14,35
16 19,98 22,34 13,57
32 15,15 17,42 10,47
32 17,38 19,56 11,84
32 16,08 18,12 11,47
64 11,99 13,61 8,93
64 12,02 14,00 8,58
64 12,81 14,95 9,16
128 12,20 14,23 8,53
128 8,83 10,42 6,29
128 8,76 10,03 6,42
256 10,02 12,96 6,48
256 7,89 10,39 4,86
256 6,13 7,84 3,91
512 6,76 8,57 4,36
512 9,42 12,30 5,81
512 10,75 14,06 6,69
1024 10,48 13,62 6,67
1024 8,04 10,60 4,90
1024 7,04 9,25 4,41
2048 7,54 9,81 4,66
2048 9,26 12,09 5,81
2048 10,60 13,64 6,80
4096 10,31 13,74 6,40
4096 10,49 13,86 6,44
4096 6,49 8,12 4,26
8192 8,80 11,82 5,31
8192 9,94 13,30 6,06
8192 10,58 14,04 6,54
16384 6,79 8,88 4,23
16384 8,10 10,52 5,30
16384 10,30 13,77 6,32
32768 11,11 14,00 7,58
32768 10,03 13,23 6,25
32768 7,53 10,12 4,55
65536 8,82 11,46 5,56
65536 9,68 12,91 5,98
65536 10,23 13,66 6,32
131072 8,02 10,34 5,21
131072 10,50 14,02 6,47
131072 9,27 12,10 5,80
262144 9,25 12,22 5,82
262144 8,01 10,65 4,95
262144 8,40 11,08 5,26
524288 9,69 12,92 5,99
524288 8,14 10,70 5,15
524288 10,95 14,23 7,01
1048576 9,82 12,96 6,23
1048576 6,94 8,43 4,86
1048576 8,38 10,84 5,30
2097152 10,67 14,06 6,62
2097152 8,45 11,05 5,43
2097152 14,89 18,81 10,34
4194304 6,97 8,34 5,06
4194304 11,72 15,33 7,53
4194304 14,72 18,54 10,30
8388608 15,66 19,91 10,98
8388608 10,16 13,56 6,25
8388608 9,33 12,36 5,91
16777216 10,51 14,07 6,56
16777216 6,96 8,66 4,79
16777216 7,83 10,20 5,13
33554432 10,39 14,02 6,43
33554432 6,89 8,48 4,87
33554432 11,13 14,90 7,03
67108864 7,69 10,03 5,13
67108864 10,40 13,88 6,55
67108864 9,11 12,38 5,66
134217728 10,47 14,28 6,51
134217728 12,31 16,32 8,15
134217728 8,50 11,77 5,11
268435456 9,08 12,33 5,71
268435456 14,51 18,90 9,97
268435456 6,81 8,72 4,79
536870912 6,28 8,49 3,98
536870912 7,47 10,14 4,70
536870912 8,86 11,82 5,77
1073741824 8,59 11,59 5,48
1073741824 6,78 8,74 4,76
1073741824 23,68 28,16 19,03
2147483648 14,60 18,86 10,17
2147483648 14,53 18,80 10,09
2147483648 6,83 8,77 4,82
